time,year,month,t2m_c,vpd_kpa,rh_pct,wind_ms,sp_hpa,sst_c,precip
2010-01-01,2010,1,3.7584934486561083,0.3109409319405263,70.53016751280458,1.9369760774207074,957.0379782421068,17.62247026926918,2.456257438813801
2010-02-01,2010,2,4.195307838164156,0.31836422894399496,69.8068613616305,2.2595063478879966,955.0631856317976,16.893333549689682,2.5173348003611626
2010-03-01,2010,3,9.222095467458734,0.48865315130191495,62.306007247040576,1.647366544405111,955.3033358778398,16.628714734065603,2.31337257435163
2010-04-01,2010,4,13.72434353046427,0.6818623017984601,58.86344328609399,2.083147500060586,954.4894519329409,18.00118922493407,1.8686984501152855
2010-05-01,2010,5,17.320010203263053,0.7826396170913067,62.40875113875205,2.0826752558027515,955.5748947639429,20.293011553072393,2.215179064118614
2010-06-01,2010,6,21.95232046047833,0.991957501371736,65.07206625982239,2.363818390149037,955.5296004209565,23.38535067723042,2.4947973533440315
2010-07-01,2010,7,23.95678703542301,1.0745636579702693,65.29729590344182,2.231398455920349,956.3147889888675,25.045641046732253,2.7953609665390737
2010-08-01,2010,8,23.881357249461118,1.1024436363472148,64.32835717736572,1.8225503991282694,955.4358959109685,25.82870880693234,2.4137033856916146
2010-09-01,2010,9,20.559009553067938,0.9159158244977946,64.35610546369658,1.8354324711276806,955.4530233692368,24.680969165108227,2.8275906155412036
2010-10-01,2010,10,15.936224918573195,0.7644244038667277,60.85510403408797,1.801241306893782,956.5730421748569,22.940166234409304,1.8147320893919852
2010-11-01,2010,11,9.778168248719389,0.5076483680017891,64.06473153144377,1.779237255561125,957.6641169083143,20.71956151230192,2.189446695073097
2010-12-01,2010,12,4.80232939010582,0.35691888469308897,68.60365820761558,2.1964181305984622,956.2178833919611,18.307970440342118,2.400705154852337
2011-01-01,2011,1,3.1480123503860997,0.32530812614118,68.28369222437681,1.960561859422427,957.5801307791434,16.867319872649347,1.7566497266009706
2011-02-01,2011,2,4.68190472234504,0.37733004362585804,64.40695090225081,1.950067830166008,957.4996847046498,16.673726297732184,1.8602962496273416
2011-03-01,2011,3,8.991020578263385,0.5084029646651803,63.82186468784394,1.6872215205966783,957.9950202934434,17.048655682801694,2.2045267973465865
2011-04-01,2011,4,13.481218307264623,0.6920682110872063,61.44395592609638,2.4633923509786344,954.3433578689138,18.44493703750425,2.514466002160496
2011-05-01,2011,5,16.852090352037305,0.8141794273568446,61.66845211977831,2.0808199593063,954.9274544079004,20.268917485869625,2.3050434231312993
2011-06-01,2011,6,21.681383920212006,1.1245859607135031,61.2537626458937,2.2456337767257732,954.7389650928759,22.698396939486937,2.056627834939984
2011-07-01,2011,7,24.425764412226375,1.2012013914382984,63.20373276730918,2.241486642077731,955.5132514575743,24.780013257225225,2.0899310945129943
2011-08-01,2011,8,24.24480091937533,1.2249740704883871,62.40717444981045,2.012555761532728,954.7738823295759,25.64783271837319,2.3546662480606364
2011-09-01,2011,9,20.68254632473363,0.9590428769727354,62.38750277429715,1.3766323991789133,957.140204860295,24.962628857156382,2.69256958663615
2011-10-01,2011,10,15.784115354631844,0.7352232077482556,61.764609368261944,1.7880794644077047,956.6478591042231,23.305650819221956,2.4537661943492233
2011-11-01,2011,11,10.590480883215934,0.5048737330489089,64.36235185445958,2.032838077932987,957.4148484987552,20.904062938256335,2.231747681374989
2011-12-01,2011,12,6.369542645817254,0.36294235343399794,68.69480347663793,2.034216229049615,960.315538023991,19.166463491061627,1.7627204849753748
2012-01-01,2012,1,6.1215067744647245,0.4086068920049071,64.12355774959279,2.163409462543674,958.321323819499,17.95184286620039,1.776174713848525
2012-02-01,2012,2,6.787511621168989,0.38659575846833805,66.55658424308662,1.8353634862905677,958.1024884565094,17.45603229571497,1.9240268304133203
2012-03-01,2012,3,12.0264915003345,0.5864427841101965,61.48195899251581,2.267333310966561,956.793245203344,17.855368982542654,2.1656985686632857
2012-04-01,2012,4,14.235542494439606,0.740896185614734,57.99689002570888,1.9165391124668052,955.5766232137802,18.77650249618854,2.049464598984682
2012-05-01,2012,5,18.630866089995752,0.9220741800845441,59.38159583769617,1.958175601932574,955.8377072751374,20.671402816191524,2.393176992010693
2012-06-01,2012,6,22.105720109415607,1.1954653406900333,58.7352246808093,2.038928354816308,954.5815944024453,22.727147689900416,2.4658976310301064
2012-07-01,2012,7,24.577223834962837,1.2337808250914373,62.208564096113506,2.1989521152433342,956.9315278669019,24.972688151561954,2.0195816025834974
2012-08-01,2012,8,23.792726165026284,1.1708036566185318,62.023837103484894,1.858820508383351,956.5383104156564,25.695100114625212,2.5790292079404757
2012-09-01,2012,9,20.652528548832233,0.9738879082196221,60.791390032762095,1.3847503792802565,957.6408071633555,25.26895103893189,2.212542053908748
2012-10-01,2012,10,15.49705584177168,0.6890881824282065,63.464398987265184,1.5718880660283623,955.7537605790105,23.68812682803127,2.6133283582311404
2012-11-01,2012,11,10.360703384151718,0.5169514096506175,64.42066884653576,1.8515086384529733,959.4591304183465,20.933880228491034,1.4865348307811153
2012-12-01,2012,12,6.832759863114423,0.38495926038211326,69.02236640054132,1.7370209421938434,956.4688450015799,19.448328438751634,2.4470699197688015
2013-01-01,2013,1,4.458439604636935,0.3412421511277077,68.34631318436425,2.0809505310553575,959.8327336932496,17.990244334241766,1.9252920697854694
2013-02-01,2013,2,5.406144564340796,0.39468309477518737,65.28081814818657,1.9359075658582507,957.0432170903526,17.217834601527958,2.1873353083876155
2013-03-01,2013,3,8.123828746883607,0.5224768189531702,60.52089468552563,2.1094509090887983,957.2423087313547,16.97280514951035,1.7278448542642477
2013-04-01,2013,4,12.397602469231119,0.6141294584369568,61.53077595067229,2.028054721435128,957.054040059924,18.153300648373996,2.7278097070146017
2013-05-01,2013,5,17.44508138096735,0.8436066306678498,60.197627370940886,2.007938757507278,957.3023808583328,20.07864256120366,2.4845339781162616
2013-06-01,2013,6,21.860420703761022,1.0538319642229363,63.19816679828109,2.2688201028318487,955.9091833654437,22.737398116162172,2.674939118091417
2013-07-01,2013,7,23.70265966559092,1.077155143373491,65.07692181524799,2.0872066769991964,957.9726187210532,24.874627378189995,2.7683307267619734
2013-08-01,2013,8,23.189825709014794,1.0379553262241923,65.21973083379382,1.861601106955925,957.6477078465512,25.489066475486933,2.385061391912476
2013-09-01,2013,9,20.567289397099454,0.845919263951552,66.48893233815159,1.7645226473184639,955.6243839366603,25.262923937287514,2.8021298255869755
2013-10-01,2013,10,14.993910414394866,0.6289213603884806,65.6577591042035,1.67498636732576,957.0924028115893,23.562948211692873,2.2024172828837956
2013-11-01,2013,11,9.374915030152826,0.44905164843907097,66.47105959131504,2.2207077088259792,959.5069968037878,21.155511897437805,2.2746365728615077
2013-12-01,2013,12,4.400190245544203,0.334940772824928,69.88996005201322,1.9570980357687546,959.6872422298538,19.190220298678113,2.0343879791079584
2014-01-01,2014,1,3.7360767376990176,0.365986146070149,63.810726263543785,2.3105961887998334,958.450050645852,17.844627406381093,1.9467043808470372
2014-02-01,2014,2,4.749792304890992,0.3704163916582911,66.17368314117306,1.8855233882656666,956.9357890285054,17.508937691190276,2.2908900885820853
2014-03-01,2014,3,7.917327284688411,0.48986800997532615,61.128708658506994,1.5933821084765771,956.8393485848676,17.611203816119435,2.511502891250401
2014-04-01,2014,4,13.132658505196135,0.682053811884001,58.83869383941061,1.7391502732235546,955.8637358535431,18.507610270934133,2.496786428585332
2014-05-01,2014,5,17.664880409334504,0.8837909343954046,59.22481270403907,1.9127425892433998,956.8810880892338,20.52406440725263,2.1078604376874917
2014-06-01,2014,6,21.55557850382043,1.0215420759324911,63.02055438599538,2.1242564370321824,955.3953299261528,22.939305447722283,2.5201582942421887
2014-07-01,2014,7,23.337132596706347,1.0904559126724673,64.07724088094513,2.1100187410491515,957.5869566234188,24.972611948190288,2.50705311352748
2014-08-01,2014,8,23.010064272342767,0.9719553144501863,66.92592258121536,1.4933730853624834,957.0021862480863,25.765127843859702,2.774568412926898
2014-09-01,2014,9,20.38903676280332,0.773534945729297,68.34861950684143,1.6809202048276042,957.3144521197013,25.53024800541301,2.9876159883258
2014-10-01,2014,10,16.47115935689412,0.7245968875906428,64.14777210755558,1.547977194155566,955.6392492018807,24.010102065046752,2.3128741422416756
2014-11-01,2014,11,8.74993543457049,0.47289864919844216,64.52037825906581,2.0266053732903573,958.0514516779016,21.482488548723214,2.455027000116522
2014-12-01,2014,12,7.147802711737076,0.35684965643132854,72.61127452100388,1.4373675255901863,959.2690079238012,19.88345589043758,2.12044652333318
2015-01-01,2015,1,4.623684035323216,0.3349309349297431,69.08490910899347,1.9917667790355706,960.7058564948369,18.581868766671093,2.039423501405835
2015-02-01,2015,2,4.220376602341179,0.37086218828747564,64.76266205775161,1.7748736203880806,959.0281213310675,17.688300487238514,2.2031549486830158
2015-03-01,2015,3,9.951339369538072,0.4970658048636264,62.60792406962318,1.6456315307616936,959.3752696927905,18.167170572756586,1.9968873695971878
2015-04-01,2015,4,13.922989279700372,0.6553439722149589,60.01564879811055,1.6560568406728777,955.6600355400144,19.278314390226047,2.413316720708443
2015-05-01,2015,5,17.547810853881494,0.7517562439375601,64.15505435180494,2.1382607493623316,957.8048092696429,20.858491298639482,2.6695957132932278
2015-06-01,2015,6,22.21321009306409,0.9998004865236914,64.9674337322515,1.9202569567063281,956.4357909799073,23.371089792078514,2.6394654437908085
2015-07-01,2015,7,23.78643784447512,1.0578887747233603,65.460336995445,2.1486571315207796,956.1364950075614,25.288306113072252,2.475653559838912
